title,rating,date,description,reviewUrl,isVerified,isReviewInIndia,customerName,productSize
Not for thick hair,3.0,13 August 2024,"I have a thick hair and this comb is not useful for me. It’s not touching the scalp. Only after applying oil .. and very careful I have to comb my hair, as it might break hair.",https://www.amazon.in/gp/customer-reviews/R2A4D4LPASWPNO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Amazon Customer,
Relaxing comb,3.0,9 August 2024,I like it most...,https://www.amazon.in/gp/customer-reviews/RONHUD767QDCT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Komu,
Sharp teeth,3.0,25 July 2024,While combing the sharp teeth hurts the scalp.Not a soothing feeling.,https://www.amazon.in/gp/customer-reviews/R19360GV4MDVSE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,K,
Nice products,3.0,24 July 2024,Good comb,https://www.amazon.in/gp/customer-reviews/R3BO9N4OYHXKKK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Afroz shaikh,
average product,3.0,15 July 2024,"The teeth in the comb are too blunt, not suitable for regular combing.",https://www.amazon.in/gp/customer-reviews/R194WLPM6OLQ2P/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Kannadas,
Quality has fallen,3.0,14 July 2024,"When I ordered this about two years ago it was of good quality. But this time one can easily see a drop in quality. The wood is lighter, much narrower. This causes the spokes of the comb to feel more pokey on the scalp. Also it didn't seem to have any pre soaked oil",https://www.amazon.in/gp/customer-reviews/RZS969JGNPICQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,zee,
Product is good,3.0,2 July 2024,Excellent Good product in a good price as expected from nat habit loved the product u can definitely buy this,https://www.amazon.in/gp/customer-reviews/R2L9H7PYH5S032/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Received damaged and box was opened,
Too big size from kid perspective,3.0,23 June 2024,Too big size from kid perspective,https://www.amazon.in/gp/customer-reviews/R2AJNY9C02PYAG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Mohit,
Great,3.0,17 June 2024,The comb's edge came broken but the return facilities are really really good. And I personally love this comb that I order it repeatedly.D. Send me a surprise gift.,https://www.amazon.in/gp/customer-reviews/RPBSGW91ZGA24/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Nityodita Sharma ,
Good quality but Sharp teeth,3.0,17 June 2024,The quality of the product is great but the edges of the teeth are not evenly finished. Some are sharp and people with sensitive scalp may find it uncomfortable to use. Otherwise the comb is sturdy and looks great.,https://www.amazon.in/gp/customer-reviews/RIZ20B3T2C6K5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,saffu,
